ID,NMFS ID,date,year,month,julian ,col_date,week,mass,fl,sex,gonad,drywet,gsi,soma,
1,T153407,7-May,2009,May,127,5/7/09,18,7.34,805,f,105,0.37,0.0145,7235,
2,T153408,9-May,2009,May,129,5/9/09,18,6.52,775,f,120,0.31,0.0188,6400,
3,T153409,9-May,2009,May,129,5/9/09,18,4.72,684,m,13,0.41,0.0028,4707,
4,T153410,9-May,2009,May,129,5/9/09,18,5.94,729,f,54,0.29,0.0092,5886,
5,T153411,9-May,2009,May,129,5/9/09,18,12.4,939,m,22,0.29,0.0018,12378,
6,T153412,9-May,2009,May,129,5/9/09,18,4.42,668,m,21,0.35,0.0048,4399,
7,T153413,9-May,2009,May,129,5/9/09,18,4.14,657,m,16,0.29,0.0039,4124,
8,T153414,15-May,2009,May,135,5/15/09,19,8.38,810,f,78,0.3,0.0094,8302,
9,T153415,15-May,2009,May,135,5/15/09,19,5.4,700,m,20,0.33,0.0037,5380,
10,T153416,15-May,2009,May,135,5/15/09,19,7.46,768,f,71,0.2,0.0096,7389,
11,T153417,15-May,2009,May,135,5/15/09,19,6.12,766,f,71,0.45,0.0117,6049,
12,T153418,15-May,2009,May,135,5/15/09,19,7,768,m,22,0.39,0.0032,6978,
13,T153419,15-May,2009,May,135,5/15/09,19,8.84,834,m,25,0.39,0.0028,8815,
14,T153420,15-May,2009,May,135,5/15/09,19,5.02,698,m,8,0.35,0.0016,5012,
15,T153421,15-May,2009,May,135,5/15/09,19,8.32,826,m,19,0.33,0.0023,8301,
19,T153425,16-May,2009,May,136,5/16/09,19,7.5,792,m,33,0.29,0.0044,7467,
20,T153426,16-May,2009,May,136,5/16/09,19,5.46,659,m,25,0.29,0.0046,5435,
21,T153427,16-May,2009,May,136,5/16/09,19,9.2,810,f,174,0.26,0.0193,9026,
22,T153428,16-May,2009,May,136,5/16/09,19,7.08,787,m,15,0.46,0.0021,7065,
23,T153429,16-May,2009,May,136,5/16/09,19,7.18,788,f,99,0.33,0.014,7081,
24,T153430,16-May,2009,May,136,5/16/09,19,7,794,f,76,0.31,0.011,6924,
25,T153431,16-May,2009,May,136,5/16/09,19,7.36,778,f,132,0.4,0.0183,7228,
26,T153432,16-May,2009,May,136,5/16/09,19,8.34,820,m,24,0.31,0.0029,8316,
27,T153433,16-May,2009,May,136,5/16/09,19,6,713,m,21,0.36,0.0035,5979,
28,T153434,16-May,2009,May,136,5/16/09,19,6.28,747,f,96,0.33,0.0155,6184,
29,T153435,16-May,2009,May,136,5/16/09,19,5.76,724,m,34,0.32,0.0059,5726,
30,T153436,16-May,2009,May,136,5/16/09,19,6.24,750,f,75,0.3,0.0122,6165,
32,T153438,16-May,2009,May,136,5/16/09,19,6.88,773,f,137,0.37,0.0203,6743,
33,T153439,16-May,2009,May,136,5/16/09,19,5.6,716,m,15,0.28,0.0027,5585,
34,T153440,16-May,2009,May,136,5/16/09,19,4.74,676,m,10,0.37,0.0021,4730,
35,T153441,17-May,2009,May,137,5/17/09,20,7.26,788,m,22,0.32,0.003,7238,
36,T153442,17-May,2009,May,137,5/17/09,20,6.38,767,f,78,0.33,0.0124,6302,
37,T153443,17-May,2009,May,137,5/17/09,20,4,639,f,46,0.34,0.0116,3954,
38,T153444,17-May,2009,May,137,5/17/09,20,6.46,751,m,14,0.37,0.0022,6446,
39,T153445,17-May,2009,May,137,5/17/09,20,6.1,720,f,69,0.33,0.0114,6031,
40,T153446,17-May,2009,May,137,5/17/09,20,5.16,700,f,74,0.35,0.0145,5086,
41,T153447,21-May,2009,May,141,5/21/09,20,6.02,746,f,79,0.34,0.0133,5941,
42,T153448,21-May,2009,May,141,5/21/09,20,7.06,771,m,26,0.38,0.0037,7034,
43,T153449,22-May,2009,May,142,5/22/09,20,8.96,810,f,127,0.3,0.0144,8833,
44,T153450,22-May,2009,May,142,5/22/09,20,10.02,869,m,30,0.28,0.003,9990,
45,T153451,24-May,2009,May,144,5/24/09,21,6.16,750,f,92,0.35,0.0152,6068,
46,T153452,24-May,2009,May,144,5/24/09,21,7.2,776,m,25,0.33,0.0035,7175,
47,T153453,24-May,2009,May,144,5/24/09,21,7.26,788,m,19,0.33,0.0026,7241,
48,T153454,24-May,2009,May,144,5/24/09,21,4.76,677,m,19,0.33,0.004,4741,
49,T153455,25-May,2009,May,145,5/25/09,21,4.3,668,m,17,0.33,0.004,4283,
50,T153456,25-May,2009,May,145,5/25/09,21,6.24,734,f,104,0.4,0.0169,6136,
51,T153457,25-May,2009,May,145,5/25/09,21,5.34,709,f,65,0.38,0.0123,5275,
52,T153458,25-May,2009,May,145,5/25/09,21,4.9,679,m,22,0.36,0.0045,4878,
53,T153459,25-May,2009,May,145,5/25/09,21,3.9,639,f,41,0.33,0.0106,3859,
54,T153460,25-May,2009,May,145,5/25/09,21,7.44,783,m,20,0.4,0.0027,7420,
55,T153461,28-May,2009,May,148,5/28/09,21,3.32,599,m,19,0.32,0.0058,3301,
56,T153462,30-May,2009,May,150,5/30/09,21,7.02,784,m,24,0.35,0.0034,6996,
57,T153463,31-May,2009,May,151,5/31/09,22,4.14,631,m,16,0.33,0.0039,4124,
58,T153464,31-May,2009,May,151,5/31/09,22,4.84,671,f,58,0.32,0.0121,4782,
59,T153465,31-May,2009,May,151,5/31/09,22,4.62,648,m,35,0.3,0.0076,4585,
60,T153466,31-May,2009,May,151,5/31/09,22,6.12,736,m,16,0.31,0.0026,6104,
61,T153467,31-May,2009,May,151,5/31/09,22,4.94,680,f,96,0.31,0.0198,4844,
62,T153468,31-May,2009,May,151,5/31/09,22,4.04,638,m,17,0.35,0.0042,4023,
63,T153469,31-May,2009,May,151,5/31/09,22,12.22,942,m,37,0.35,0.003,12183,
64,T153470,31-May,2009,May,151,5/31/09,22,3.46,627,m,15,0.31,0.0044,3445,
65,T153471,31-May,2009,May,151,5/31/09,22,4.96,688,m,28,0.34,0.0057,4932,
66,T153472,31-May,2009,May,151,5/31/09,22,5.88,734,m,18,0.39,0.0031,5862,
67,T153473,4-Jun,2009,June,155,6/4/09,22,8.18,838,m,26,0.33,0.0032,8154,
68,T153474,4-Jun,2009,June,155,6/4/09,22,3.84,629,f,66,0.36,0.0175,3774,
69,T153475,4-Jun,2009,June,155,6/4/09,22,6.76,751,f,38,0.35,0.0057,6722,
70,T153476,4-Jun,2009,June,155,6/4/09,22,5.06,692,f,78,0.27,0.0157,4982,
71,T153477,5-Jun,2009,June,156,6/5/09,22,9.08,836,m,22,0.34,0.0024,9058,
72,T153478,5-Jun,2009,June,156,6/5/09,22,7.22,771,f,142,0.24,0.0201,7078,
73,T153479,5-Jun,2009,June,156,6/5/09,22,6.32,743,f,121,0.38,0.0195,6199,
