ID ,Date ,Run ,Sex ,Total Mass (kg) ,FL (mm) ,Gonad (gm) ,Drained Gonad (gm) ,NWF ,Fecundity ,spawn_year
243 ,9/28/2009 ,spring ,f ,4.72 ,800 ,1180 ,957 ,0.2 ,3693 ,2009 
244 ,9/28/2009 ,spring ,f ,4.39 ,740 ,832 ,740 ,0.22 ,3156 ,2009 
245 ,9/28/2009 ,spring ,f ,3.98 ,658 ,560 ,476 ,0.2 ,2669 ,2009 
246 ,9/28/2009 ,spring ,f ,3.02 ,618 ,360 ,308 ,0.21 ,1876 ,2009 
247 ,9/28/2009 ,spring ,m ,3.26 ,677 ,0.22 ,,,,2009 
248 ,9/28/2009 ,spring ,m ,3.96 ,708 ,0.21 ,,,,2009 
249 ,9/28/2009 ,spring ,f ,2.69 ,579 ,446 ,384 ,0.2 ,2450 ,2009 
250 ,9/28/2009 ,spring ,f ,4.93 ,717 ,866 ,727 ,0.21 ,3520 ,2009 
251 ,9/28/2009 ,spring ,f ,4.66 ,768 ,872 ,774 ,0.2 ,2919 ,2009 
252 ,9/28/2009 ,spring ,m ,3.76 ,703 ,0.2 ,,,,2009 
253 ,9/28/2009 ,spring ,m ,5.2 ,770 ,0.2 ,,,,2009 
254 ,9/28/2009 ,spring ,f ,3.91 ,653 ,652 ,536 ,0.19 ,2823 ,2009 
255 ,9/28/2009 ,spring ,f ,3.69 ,645 ,634 ,540 ,0.18 ,2882 ,2009 
256 ,9/28/2009 ,spring ,f ,3.84 ,667 ,623 ,520 ,0.2 ,3157 ,2009 
257 ,9/28/2009 ,spring ,f ,3.43 ,639 ,565 ,476 ,0.2 ,2140 ,2009 
258 ,9/28/2009 ,spring ,m ,3.06 ,669 ,0.23 ,,,,2009 
259 ,9/28/2009 ,spring ,f ,3.19 ,629 ,465 ,389 ,0.2 ,2334 ,2009 
260 ,9/28/2009 ,spring ,f ,3.75 ,651 ,614 ,557 ,0.21 ,2933 ,2009 
261 ,9/28/2009 ,spring ,f ,6.24 ,767 ,1023 ,850 ,0.2 ,3154 ,2009 
262 ,9/28/2009 ,spring ,m ,5.1 ,772 ,0.2 ,,,,2009 
263 ,9/28/2009 ,spring ,f ,3.01 ,601 ,505 ,424 ,0.2 ,2462 ,2009 
264 ,9/28/2009 ,spring ,m ,2.5 ,607 ,0.22 ,,,,2009 
265 ,9/28/2009 ,spring ,m ,2.7 ,612 ,0.2 ,,,,2009 
266 ,9/28/2009 ,spring ,m ,2.96 ,619 ,0.19 ,,,,2009 
267 ,9/28/2009 ,spring ,m ,2.56 ,603 ,0.36 ,,,,2009 
269 ,9/28/2009 ,spring ,m ,6.6 ,811 ,0.49 ,,,,2009 
270 ,9/28/2009 ,spring ,m ,3.04 ,632 ,0.21 ,,,,2009 
271 ,9/28/2009 ,spring ,m ,7.16 ,853 ,0.19 ,,,,2009 
272 ,9/28/2009 ,spring ,m ,8.1 ,886 ,0.18 ,,,,2009 
273 ,10/1/2009 ,spring ,m ,3.86 ,772 ,0.2 ,,,,2009 
274 ,10/1/2009 ,spring ,f ,3.14 ,629 ,461 ,380 ,0.19 ,3832 ,2009 
275 ,10/1/2009 ,spring ,m ,3.14 ,639 ,0.22 ,,,,2009 
276 ,10/1/2009 ,spring ,m ,2.82 ,651 ,0.19 ,,,,2009 
277 ,10/1/2009 ,spring ,m ,3.42 ,697 ,0.21 ,,,,2009 
278 ,10/1/2009 ,spring ,m ,3.42 ,684 ,0.21 ,,,,2009 
279 ,10/1/2009 ,spring ,m ,3.64 ,695 ,0.2 ,,,,2009 
280 ,10/1/2009 ,spring ,m ,3.64 ,708 ,0.21 ,,,,2009 
281 ,10/1/2009 ,spring ,m ,5.02 ,778 ,0.21 ,,,,2009 
282 ,10/1/2009 ,spring ,m ,3.66 ,701 ,0.2 ,,,,2009 
283 ,10/1/2009 ,spring ,m ,4.32 ,724 ,0.19 ,,,,2009 
284 ,10/1/2009 ,spring ,m ,3.56 ,698 ,0.21 ,,,,2009 
285 ,10/1/2009 ,spring ,f ,3.68 ,644 ,637 ,533 ,0.19 ,2921 ,2009 
286 ,10/1/2009 ,spring ,f ,2.78 ,596 ,439 ,368 ,0.19 ,2343 ,2009 
287 ,10/1/2009 ,spring ,f ,4.14 ,664 ,757 ,651 ,0.19 ,3706 ,2009 
288 ,10/1/2009 ,spring ,f ,3.54 ,636 ,537 ,450 ,0.21 ,3004 ,2009 
289 ,10/1/2009 ,spring ,f ,4.09 ,651 ,710 ,607 ,0.21 ,3517 ,2009 
290 ,10/1/2009 ,spring ,f ,3.16 ,629 ,517 ,444 ,0.19 ,2797 ,2009 
291 ,10/1/2009 ,spring ,f ,4.28 ,667 ,723 ,602 ,0.22 ,3332 ,2009 
292 ,10/1/2009 ,spring ,f ,6.14 ,775 ,838 ,749 ,0.2 ,2493 ,2009 
293 ,10/1/2009 ,spring ,f ,3.2 ,627 ,512 ,417 ,0.21 ,2472 ,2009 
295 ,10/1/2009 ,spring ,f ,3.16 ,618 ,462 ,403 ,0.21 ,2254 ,2009 
296 ,10/1/2009 ,spring ,f ,3.67 ,648 ,646 ,548 ,0.2 ,2696 ,2009 
297 ,10/1/2009 ,spring ,f ,3.59 ,658 ,571 ,462 ,0.2 ,2684 ,2009 
298 ,10/1/2009 ,spring ,f ,3.3 ,642 ,556 ,429 ,0.19 ,2978 ,2009 
299 ,10/1/2009 ,spring ,f ,3.04 ,611 ,444 ,368 ,0.2 ,3647 ,2009 
300 ,10/1/2009 ,spring ,f ,2.45 ,503 ,371 ,318 ,0.19 ,2298 ,2009 
301 ,10/1/2009 ,spring ,f ,3.14 ,613 ,520 ,430 ,0.2 ,2826 ,2009 
302 ,10/1/2009 ,spring ,f ,3.64 ,652 ,639 ,528 ,0.19 ,3188 ,2009 
303 ,10/1/2009 ,spring ,f ,3.77 ,646 ,606 ,512 ,0.2 ,3173 ,2009 
304 ,10/1/2009 ,spring ,m ,4.4 ,727 ,0.2 ,,,,2009 
305 ,10/1/2009 ,spring ,m ,4.86 ,777 ,0.17 ,,,,2009 
306 ,10/1/2009 ,spring ,m ,3.14 ,651 ,0.18 ,,,,2009 
307 ,10/1/2009 ,spring ,m ,4.04 ,774 ,0.23 ,,,,2009 
