NMFS_DNA_ID,PHENOTYPE,COLLECTION_DATE,REACH_SITE,LOCATION_COMMENTS_F,LATITUDE_F,LONGITUDE_F,Sample_ID,Sample_Plate
T145112,Spring,2006-10-12,NA,NA,NA,NA,CH8943,T145112_T1515_8B
T145116,Spring,2006-10-18,NA,NA,NA,NA,CH8991,T145116_T1515_8F
T031549,Spring Run,1997-10-01,NA,Upstr. Hose Cr. (?),NA,NA,CH9105,T031549_T332_4G
T031552,Spring Run,1997-10-01,NA,Downstr. Boy Scout Bar,NA,NA,CH9141,T031552_T332_5B
T031553,Spring Run,1997-10-01,NA,Downstr. Boy Scout Bar,NA,NA,CH9153,T031553_T332_5C
T031554,Spring Run,1997-10-01,NA,Downstr. Boy Scout Bar,NA,NA,CH9165,T031554_T332_5D
T031557,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH9106,T031557_T332_5G
T031560,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH9142,T031560_T332_6B
T031568,Spring Run,1994-09-28,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH9143,T031568_T332_7B
T031571,Spring Run,1994-09-28,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH9179,T031571_T332_7E
T031585,Fall Run,2006-10-31,NA,Coordinates just upstream of confluence w. Klamath River,41.3793,-123.491677777777,CH9157,T031585_T332_9C
T031588,Fall Run,2008-10-31,NA,Coordinates just upstream of confluence w. Klamath River,41.3793,-123.491677777777,CH9193,T031588_T332_9F
T031595,Fall Run,2006-11-03,NA,Coordinates just upstream of confluence w. Klamath River,41.3793,-123.491677777777,CH9182,T031595_T332_10E
T031596,Fall Run,2006-11-03,NA,Coordinates just upstream of confluence w. Klamath River,41.3793,-123.491677777777,CH9194,T031596_T332_10F
T031602,Fall Run,2006-11-03,NA,Coordinates just upstream of confluence w. Klamath River,41.3793,-123.491677777777,CH9171,T031602_T332_11D
T031607,Fall Run,2006-11-07,NA,Coordinates just upstream of confluence w. Klamath River,41.3793,-123.491677777777,CH9136,T031607_T332_12A
T031630,Fall Run,2006-11-10,NA,NA,41.3793,-123.491677777777,CH9211,T031630_T333_2H
T031633,Fall Run,2006-11-10,NA,NA,41.3793,-123.491677777777,CH9247,T031633_T333_3C
T031634,Fall Run,2006-11-10,NA,NA,41.3793,-123.491677777777,CH9259,T031634_T333_3D
T031636,Fall Run,2006-11-10,NA,NA,41.3793,-123.491677777777,CH9283,T031636_T333_3F
T031637,Fall Run,2006-11-10,NA,NA,41.3793,-123.491677777777,CH9200,T031637_T333_3G
T031639,Fall Run,2006-11-10,NA,NA,41.3793,-123.491677777777,CH9224,T031639_T333_4A
T031641,Fall Run,2006-11-10,NA,NA,41.3793,-123.491677777777,CH9248,T031641_T333_4C
T032035,NA,2006-10-12,Cecilville,NA,41.1381611111111,-123.138397222222,CH9201,T032035_T337_5E
T032036,NA,2006-10-19,Cecilville,NA,41.1381611111111,-123.138397222222,CH9213,T032036_T337_5F
T032037,NA,2006-10-12,Cecilville,NA,41.1381611111111,-123.138397222222,CH9225,T032037_T337_5G
T032040,NA,2006-10-12,Cecilville,NA,41.1381611111111,-123.138397222222,CH9261,T032040_T337_6B
T032045,NA,2006-10-05,Cecilville,NA,41.1381611111111,-123.138397222222,CH9226,T032045_T337_6G
