molecule_name	GenBank_sequence	nada	RefSeq_sequence	mystery
Chromosome 1	CM009202.1	=	NC_037097.1	0
Chromosome 2	CM009203.1	=	NC_037098.1	0
Chromosome 3	CM009204.1	=	NC_037099.1	0
Chromosome 4	CM009205.1	=	NC_037100.1	0
Chromosome 5	CM009206.1	=	NC_037101.1	0
Chromosome 6	CM009207.1	=	NC_037102.1	0
Chromosome 7	CM009208.1	=	NC_037103.1	0
Chromosome 8	CM009209.1	=	NC_037104.1	0
Chromosome 9	CM009210.1	=	NC_037105.1	0
Chromosome 10	CM009211.1	=	NC_037106.1	0
Chromosome 11	CM009212.1	=	NC_037107.1	0
Chromosome 12	CM009213.1	=	NC_037108.1	0
Chromosome 13	CM009214.1	=	NC_037109.1	0
Chromosome 14	CM009215.1	=	NC_037110.1	0
Chromosome 15	CM009216.1	=	NC_037111.1	0
Chromosome 16	CM009217.1	=	NC_037112.1	0
Chromosome 17	CM009218.1	=	NC_037113.1	0
Chromosome 18	CM009219.1	=	NC_037114.1	0
Chromosome 19	CM009220.1	=	NC_037115.1	0
Chromosome 20	CM009221.1	=	NC_037116.1	0
Chromosome 21	CM009222.1	=	NC_037117.1	0
Chromosome 22	CM009223.1	=	NC_037118.1	0
Chromosome 23	CM009224.1	=	NC_037119.1	0
Chromosome 24	CM009225.1	=	NC_037120.1	0
Chromosome 25	CM009226.1	=	NC_037121.1	0
Chromosome 26	CM009227.1	=	NC_037122.1	0
Chromosome 27	CM009228.1	=	NC_037123.1	0
Chromosome 28	CM009229.1	=	NC_037124.1	0
Chromosome 29	CM009230.1	=	NC_037125.1	0
Chromosome 30	CM009231.1	=	NC_037126.1	0
Chromosome 31	CM009232.1	=	NC_037127.1	0
Chromosome 32	CM009233.1	=	NC_037128.1	0
Chromosome 33	CM009234.1	=	NC_037129.1	0
Chromosome 34	CM009235.1	=	NC_037130.1	0
