vcf_name	old_way_read_depth
DPCh_plate1_A01_S1	0.7499196486
DPCh_plate1_A02_S2	1.7756021
DPCh_plate1_A03_S3	0.263933469
DPCh_plate1_A04_S4	0.3283254768
DPCh_plate1_A05_S5	1.23582387
DPCh_plate1_A06_S6	0.6851451682
DPCh_plate1_A07_S7	1.504784123
DPCh_plate1_A08_S8	1.645725305
DPCh_plate1_A09_S9	1.239593958
DPCh_plate1_A10_S10	1.738338333
DPCh_plate1_A11_S11	1.204543068
DPCh_plate1_A12_S12	1.473093529
DPCh_plate1_B01_S13	0.1015738162
DPCh_plate1_B02_S14	1.690665845
DPCh_plate1_B03_S15	0.06810745661
DPCh_plate1_B04_S16	0.1290298907
DPCh_plate1_B05_S17	1.614854296
DPCh_plate1_B06_S18	1.442441076
DPCh_plate1_B07_S19	1.719925005
DPCh_plate1_B08_S20	1.552620527
DPCh_plate1_B09_S21	2.416680951
DPCh_plate1_B10_S22	1.864007928
DPCh_plate1_B11_S23	1.835349796
DPCh_plate1_B12_S24	1.911898972
DPCh_plate1_C01_S25	0.1070377116
DPCh_plate1_C02_S26	2.012079494
DPCh_plate1_C03_S27	1.679082387
DPCh_plate1_C04_S28	0.0823682237
DPCh_plate1_C05_S29	1.971400793
DPCh_plate1_C06_S30	1.497325905
DPCh_plate1_C07_S31	0.5647755517
DPCh_plate1_C08_S32	1.583628134
DPCh_plate1_C09_S33	1.902419113
DPCh_plate1_C10_S34	2.470500321
DPCh_plate1_C11_S35	1.605838869
DPCh_plate1_C12_S36	1.737300193
DPCh_plate1_D01_S37	1.196374545
DPCh_plate1_D02_S38	1.838436897
DPCh_plate1_D03_S39	0.7872653739
DPCh_plate1_D04_S40	0.6955812085
DPCh_plate1_D05_S41	1.583245661
DPCh_plate1_D06_S42	1.319585387
DPCh_plate1_D07_S43	1.441266338
DPCh_plate1_D08_S44	1.805079816
DPCh_plate1_D09_S45	2.046474716
DPCh_plate1_D10_S46	1.498691879
DPCh_plate1_D11_S47	2.048059246
DPCh_plate1_D12_S48	1.870865117
DPCh_plate1_E01_S49	1.266203128
DPCh_plate1_E02_S50	1.890835655
DPCh_plate1_E03_S51	0.1261886651
DPCh_plate1_E04_S52	0.1300407114
DPCh_plate1_E05_S53	1.006968609
DPCh_plate1_E06_S54	0.7092136276
DPCh_plate1_E07_S55	1.647337154
DPCh_plate1_E08_S56	0.5438761517
DPCh_plate1_E09_S57	2.068767409
DPCh_plate1_E10_S58	1.820160167
DPCh_plate1_E11_S59	2.119007928
DPCh_plate1_E12_S60	2.308550461
DPCh_plate1_F01_S61	0.1040872081
DPCh_plate1_F02_S62	1.370017142
DPCh_plate1_F03_S63	0.2938209771
DPCh_plate1_F04_S64	0.3048853653
DPCh_plate1_F05_S65	1.472874973
DPCh_plate1_F06_S66	1.44274159
DPCh_plate1_F07_S67	1.585158024
DPCh_plate1_F08_S68	1.457166274
DPCh_plate1_F09_S69	1.773771695
DPCh_plate1_F10_S70	1.902419113
DPCh_plate1_F11_S71	2.158648489
DPCh_plate1_F12_S72	2.413375295
DPCh_plate1_G01_S73	1.294943218
DPCh_plate1_G02_S74	1.926733448
DPCh_plate1_G03_S75	1.421924148
DPCh_plate1_G04_S76	0.2124362546
DPCh_plate1_G05_S77	2.478668845
DPCh_plate1_G06_S78	1.401297943
DPCh_plate1_G07_S79	1.42651382
DPCh_plate1_G08_S80	1.620372831
DPCh_plate1_G09_S81	3.667585172
DPCh_plate1_G10_S82	4.400621384
DPCh_plate1_G11_S83	2.127941397
DPCh_plate1_G12_S84	3.141739876
DPCh_plate1_H01_S85	1.173152989
DPCh_plate1_H02_S86	1.349828048
DPCh_plate1_H03_S87	0.1852260553
DPCh_plate1_H04_S88	0.7248403685
DPCh_plate1_H05_S89	1.73273784
DPCh_plate1_H06_S90	1.830241054
DPCh_plate1_H07_S91	1.56185451
DPCh_plate1_H08_S92	1.546637562
DPCh_plate1_H09_S93	1.682907114
DPCh_plate1_H10_S94	1.978394579
DPCh_plate1_H11_S95	1.568739019
DPCh_plate1_H12_S96	2.454682344
DPCh_plate2_A01_S97	1.612750696
DPCh_plate2_A02_S98	1.304313799
DPCh_plate2_A03_S99	1.830268374
DPCh_plate2_A04_S100	1.301445254
DPCh_plate2_A05_S101	1.052646775
DPCh_plate2_A06_S102	1.521503643
DPCh_plate2_A07_S103	1.767679451
DPCh_plate2_A08_S104	0.6340577459
DPCh_plate2_B01_S105	1.843217806
DPCh_plate2_B02_S106	2.296420613
DPCh_plate2_B03_S107	1.384441826
DPCh_plate2_B04_S108	0.7347300193
DPCh_plate2_B05_S109	1.935776195
DPCh_plate2_B06_S110	1.979104885
DPCh_plate2_B07_S111	1.422607135
DPCh_plate2_B08_S112	1.080266767
DPCh_plate2_C01_S113	1.420612813
DPCh_plate2_C02_S114	1.444927148
DPCh_plate2_C03_S115	1.63135526
DPCh_plate2_C04_S116	1.402909792
DPCh_plate2_C05_S117	1.242926934
DPCh_plate2_C06_S118	2.095567817
DPCh_plate2_C07_S119	1.108542426
DPCh_plate2_C08_S120	0.521965931
DPCh_plate2_D01_S121	1.644359331
DPCh_plate2_D02_S122	1.605401757
DPCh_plate2_D03_S123	1.620700664
DPCh_plate2_D04_S124	1.355647097
DPCh_plate2_D05_S125	1.950692629
DPCh_plate2_D06_S126	2.251042961
DPCh_plate2_D07_S127	2.071417399
DPCh_plate2_D08_S128	3.177664988
DPCh_plate2_E01_S129	1.66848243
DPCh_plate2_E02_S130	1.615783158
DPCh_plate2_E03_S131	1.559914828
DPCh_plate2_E04_S132	1.708778659
DPCh_plate2_E05_S133	1.647473752
DPCh_plate2_E06_S134	2.318303514
DPCh_plate2_E07_S135	1.732464645
DPCh_plate2_E08_S136	1.018743304
DPCh_plate2_F01_S137	1.956757553
DPCh_plate2_F02_S138	1.781284551
