PC-01 PC-02 PC-03 PC-04 PC-05 PC-06 PC-07 PC-08 PC-09 PC-10 PC-11 PC-12 PC-13 PC-14 PC-15 PC-16 PC-17 PC-18 PC-19 PC-20 PC-21 PC-22 PC-23 PC-24 PC-25 PC-26 PC-27 PC-28 PC-29 PC-30 PC-31 PC-32 PC-33 PC-34 PC-35 PC-36 PC-37 PC-38 PC-39 PC-40 PC-41 PC-42 PC-43 PC-44 PC-45 PC-46 PC-47 PC-48 PC-49 PC-50 PC-51 PC-52 PC-53 PC-54 PC-55 PC-56 PC-57 PC-58 PC-59 PC-60 PC-61 PC-62 PC-63 PC-64 PC-65 PC-66 PC-67 PC-68 PC-69 PC-70 PC-71 PC-72 PC-73 PC-74 PC-75 PC-76 PC-77 PC-78 PC-79 PC-80 PC-81 PC-82 PC-83 PC-84 PC-85 PC-86 PC-87 PC-88 PC-89 PC-90 PC-91 PC-92 PC-93 PC-94 PC-95 PC-96 PC-97 PC-98 PC-99 PC-100 PC-101 PC-102 PC-103 PC-104 PC-105 PC-106 PC-107 PC-108 PC-109 PC-110 PC-111 PC-112 PC-113 PC-114
DPCh_plate1_A01_S1 -0.0975044141514932 -0.00267952775647357 -0.091533298347834 -0.184768025408447 -0.0229246539009439 0.110919756003467 -0.00821734929298797 -0.0210961408734514 0.0158286324919109 -0.00239858464845943 -0.0895360812440698 0.127963591496295 -0.0850802447617489 -0.0188084544072311 -0.0653523358501149 -0.16446966209302 0.131011907848886 -0.174121566017124 -0.164577621758713 -0.0588608886312229 0.09233786203291 -0.0557675313630827 -0.0421001559791842 -0.00367145952351037 0.0217854246184988 0.0227243638125996 0.137966104196006 -0.158359197736568 -0.00817795743423899 -0.131348208899411 -0.077942979600591 0.287245528896834 -0.117199757809455 0.0750506152649401 -0.017792664924442 -0.162274587083281 0.150082355336154 -0.0310689920728666 -0.0132788461521449 -0.157624027823356 -0.151209613698404 0.0626561879076095 0.354244164005502 -0.0332170592668746 0.0711446974956554 0.114736055397779 -0.0596686387974575 -0.0493918023777048 0.178229197272248 -0.107087557042184 0.0739903899021246 0.252807025713788 0.01325782152772 -0.049075199949913 0.0337992264590699 0.200378881997445 0.0594033501689678 0.0438125743170059 0.275976230398268 0.087077174254539 0.107994944325546 -0.0904425723698217 -0.019302800260498 -0.00814048349131367 0.139866755598855 0.0271778710399736 0.0917106070619507 0.0248507693782194 -0.012381571423788 0.0425560243955026 0.0218491758329718 -0.0211628532103366 -0.0308662543702598 -0.0253083166439167 0.0790825571546606 0.035809110386531 0.0281529242964737 0.0725924316731571 0.0772558643447336 0.0456850311189074 0.0609868268775385 -0.025696956571143 -0.0150467408929549 0.0403342699430573 0.0419144976561556 -0.0643351351726954 -0.00919420451831301 -0.0780104941022638 0.0292228269921064 0.01369973919355 -0.0367289870182266 0.0292519469178494 0.00856289554689098 -0.0205994575101989 -0.0378813668514003 -0.0115637572480043 0.0304755730177399 0.0144301761010689 0.00429230117691372 0.00128960533190413 0.013014000145834 0.00957287215807218 -0.015437569047265 -0.00335318824909491 0.0222056695232365 -0.0116302657660843 -0.00755496687082185 0.00657626801679089 0.000521639592145915 -0.00341586637413528 0.00875719786539511 0.00474042586698527 -0.00216958097325717 -0.0943479747168777
DPCh_plate1_A02_S2 -0.0912638501485131 0.00512990766926929 -0.133059740013985 -0.130789502378734 -0.00768335373417183 0.130886405951498 0.0398826779837162 -0.0616542815535064 -0.0928048882833303 -0.225543574678222 0.0907258920775977 0.123673074602554 0.0586483008939683 -0.275832604010175 0.400012403247545 -0.133972674887728 -0.143829116889271 0.141573193686284 -0.0213232760089349 0.157841944367359 0.0237619050656879 0.319360494586332 0.290686536263224 0.0772030283927342 -0.0708301916275653 0.0671849325143441 -0.197554766646776 -0.0462671618129042 -0.0367717590088955 0.103701767427738 -0.0370288346116603 0.178704582324319 0.278155752527859 0.199703796205864 -0.0790374152804824 -0.0720948358948258 -0.082643735670916 0.0165090261110164 -0.105776429804505 -0.054973652918576 -0.0331712710833968 -0.0101738784741258 -0.0812546241877442 -0.0292865904905034 0.0206223465594083 0.00590514094181385 0.0865991157719162 -0.0608343459080152 0.0237137152860798 0.00516501957380163 -0.0198147406597088 0.0415388903259305 0.0577263824400827 -0.00899297294441057 0.047665726493115 0.033399907038372 -0.0100483491812214 0.0296443663083995 -0.00908693210991625 -0.0148382132950009 0.00565771569418998 0.0278702899589477 -0.0182446111417472 -0.0291834607190898 0.00533457523781819 0.00924934853545756 -0.00676666224909531 -0.00950498440241147 0.0380684741619142 0.0755067342991121 -0.0298065185529669 0.0361009779492768 -0.0402119134696473 -0.011596496968497 -0.0354713973610326 -8.23884880142914e-05 0.00504250689196438 0.043144394086948 -0.0778671704385065 -0.00142400719228422 -0.00655704276491429 0.0728803452498243 -0.0417234815155469 0.0264345914059965 -0.093799467431366 -0.0147430474366091 0.0446466287539314 -0.0416030029602875 -0.013543824332115 0.0333289348211552 -0.0134016650656195 -0.026289700015217 0.0079364681304712 -0.0104318909125228 -0.0206963707144642 0.00378206661814923 -0.0233718245453264 -0.0191580613737349 -0.0170542255969709 -0.0243253435569018 -0.0049773058902445 0.0135685893900597 -0.00781570812557571 -0.0145052943460867 0.0171637372149787 0.0012593276804342 -0.00284094908526211 0.00233935598336071 -0.00778691575593886 0.0103412098745541 -0.00553415455453755 -0.00705736680223427 -0.00100260821547881 -0.093354310122788
DPCh_plate1_A05_S5 0.0824010549924977 0.085615919681933 0.0242121834288282 -0.034028657717287 0.0661424122184746 0.00803624803928999 0.0401265306658272 0.0644908190707542 0.00221092946311296 0.0247763374149553 -0.00111558130239039 0.0188669573399744 0.0114780050781032 -0.0394414151632373 -0.0170524492673173 0.0598520458802553 -0.0520491956305006 -0.0717433357199986 0.0399419198989528 0.0186576255422259 0.0145216387714944 -0.0123084680264134 -0.128732440643831 0.119248996798098 -0.0820232684392137 -0.0388857853532428 -0.0666005724765598 0.0850440996439247 0.0189477388848081 -0.0186665687729461 -0.103455816409436 -0.0277210922243466 -0.034931303815938 -0.0170878401172161 0.00463415395766788 0.0820319062885852 0.0623351235450638 0.0761486740483711 0.0805151198990307 -0.121791926644337 0.029257373308545 0.0241990125089048 -0.107262207775718 -0.0635455240583058 -0.0540581797639839 -0.236755176144753 0.377244525192256 -0.333923387891978 0.186045785847664 -0.0196697643358028 0.225415867812829 -0.0178455447948742 0.0475238993197167 0.0404400190366765 -0.0041503532667741 -0.00506207600654348 0.262369036249831 0.2495997763708 -0.10865954469304 0.190236471512302 0.0287524538244453 0.106569407377182 0.115154903368616 -0.0262375893696346 0.243418736290014 -0.0821931493369547 0.0362161326237604 0.00693399253273402 -0.128368728548301 -0.107072316633359 -0.0517461564244817 0.0229206337798253 -0.167983089341196 0.00970711498820174 0.0874794151300437 -0.0325336827921715 -0.0676409994961168 -0.0506965647913062 0.0494942497668655 0.0614524922361517 -0.0456696003093746 -0.0268315695611112 0.0605839027559197 -0.044980819914278 -0.0928027972312991 0.0380707258196854 -0.0859269420029765 -0.0185078653902431 -0.014209648629299 0.0444434358514554 -0.0987131591579608 -0.0691811560862442 0.0106093596498418 0.0247489689584609 -0.00283247190020947 0.0236380205470023 0.00383065654744253 0.0461527491571644 -0.0398875140516636 0.0676735972072051 0.00147905915773277 -0.0829510297652732 0.00234838351573433 -0.0773633730520487 -0.00912808672061755 0.0405399215296918 -0.00447778278618105 -0.0482113322782583 0.00530913064841471 -0.00226114095033538 0.024224825631865 -0.0327638161755527 0.0341671999059372 -0.0930384936560427
DPCh_plate1_A06_S6 0.0805455588529734 0.108675386047842 -0.0556072686185066 -0.000825639744921851 0.130895928459778 -0.068301616336391 -0.00805134803847061 0.159146608068056 -0.0659304398394108 0.00192076119453748 0.0498044606663172 -0.137491039269967 -0.0998340920264108 0.186873134437729 0.00994077245493911 -0.42520042799836 0.421301842121982 0.396130429458922 0.0406502345103196 -0.0837707583594617 0.160514090371631 0.143646375346448 0.042477929873685 -0.108496748649055 0.107574067177396 0.0371560142035954 -0.0774448742649239 0.125714104547033 0.223589751262039 -0.028028717607522 0.00681167781580765 -0.0348055924701926 -0.138412939021783 0.0402087661684035 -0.0731669160403058 -0.0704823994049934 -0.04060175406746 0.133762774238842 0.0761227571904828 -0.13684851732421 0.0509283794838826 0.181647485541822 -0.0723699283197585 -0.0697185867456859 -0.0134503561100086 -0.00154988502353215 -0.040305429701466 -0.00526434138077274 -0.0201110798535565 0.00820953069674718 0.0812884049782729 0.0378515276427637 -0.00688089929331042 0.0439966342950591 0.00527232618684387 -0.0236463342791758 0.00796807620155754 0.0262263619971423 -0.0722819347797843 -0.0293998635240667 0.0573255148604455 0.033589599930727 -0.063315494977329 -0.0439963950789577 -0.00308375049900545 -0.0374039953682796 0.0244644460612166 0.0182432669215811 -0.00288607499857103 0.0186607309869405 0.0332650450161877 0.0199206489968227 -0.0140152265006072 -0.01515896149025 -0.0482681449849331 0.0290632200684741 0.00190095705206747 -0.0386894483481685 -0.00459530442809921 -0.063003431478976 -0.0332837618631831 0.00209335423658136 -0.0153547161950655 -0.0270287063810045 -0.00487695836982367 -0.0302233374952747 0.0204059532361687 0.0143086378600917 0.0037952428914027 -0.0284693868909564 -0.0310654426915458 0.0222330557266917 -0.0100396249770258 -0.00291023489832471 0.0408131244008961 0.0163908253530114 0.0207751105687585 -0.0261813794739261 -0.0386730965645666 -0.0341329670760467 0.021866927477944 0.0182294129631758 0.0291559069304335 -0.00668523330247902 -0.0228588007908799 -0.00062861485188376 0.0459975772416499 -0.0125857064643243 -0.000842617613440471 -0.0111291086060486 -0.00258714674698868 -0.0223210670973632 0.0165913494461237 -0.0929802329000726
DPCh_plate1_A07_S7 0.0832473875809502 0.0442469651185788 0.0129272148621792 0.0568233033564869 -0.149660101870593 0.0424296067956177 0.00381905268299785 -0.0203243703361429 -0.00490995567602032 -0.0142554118196026 0.0178930595612077 0.0194676820370233 0.0112009380352634 -0.0271101976557154 0.0292883446726776 -0.045852085343586 -0.0612476446213703 0.000739607020462947 0.0645567817523389 0.0413829953714615 -0.0428381609818597 -0.0843625649080698 0.105139079201947 -0.0912258074232162 -0.190883678201255 0.0483735616422859 0.115650881779187 -0.0258738473996643 0.175469889492025 -0.0585687895989923 0.0566111297019142 -0.0103489739814035 0.00781633268920441 -0.0111764354000513 -0.0423470414181054 -0.0678004285009074 -0.215144682001148 -0.0402879156012553 0.183460069176492 0.0128000738891972 0.122969001246052 0.0419198462272128 0.0768876734899983 0.177936859246765 -0.123120258419162 0.0237106504879739 -0.147794689643501 -0.0981664747494491 0.174969215394352 -0.0977678174155255 -0.206922257665148 -0.0301525299174822 -0.0846326987391154 0.131314589630751 -0.0202371040654297 -0.0184830134165948 0.0484850487616676 0.194778139964489 0.0243790905687867 -0.178384713882305 -0.211787732711824 0.0134960902041672 -0.0123364853005622 0.202154405829655 0.242593022489961 -0.15438735196458 0.12408477710712 -0.0679170014450237 -0.175149898253748 0.119936293955469 0.0587267036708467 0.0268540035607506 0.0908067369278391 0.020584094406747 0.0594793919882669 -0.0284634419333022 -0.20278423576208 -0.0767238887993836 -0.0402723821057536 -0.155159957824068 -0.0119166837033862 -0.0742357950117066 -0.00216021907467781 0.149441166282233 0.0114968313597055 0.0538873633825312 0.0117420889992016 -0.123432960190421 -0.00667288688549579 0.0416393083374482 0.148889426826204 0.00866035983750744 -0.157839364456334 -0.0189607661696734 0.0492055378989458 -0.086505310754529 0.0321826680454403 -0.0266637591947827 -0.0606878131294781 -0.11299336800951 0.00782876911643711 -0.00669349588115423 -0.0130644577369229 0.00955909990532189 0.0118703750889613 0.0119796392651169 -0.00759429357463499 0.014240004191032 -0.0227358964153755 0.00924359612256246 -0.0136401709144636 -0.00862957909174571 -0.0209055004078164 -0.0927023300901129
DPCh_plate1_A08_S8 0.0808338635168592 0.0522107562311784 -0.047046856073962 0.111885578255021 -0.174143264293389 0.0200825154669471 0.00488072333078332 -0.030822868008623 0.0123123864478667 0.00782643505721113 0.00815135069994257 -0.0562212603396404 -0.00736390222841705 0.0469221608238207 -0.0848488377654592 -0.0758365847483666 -0.004809799101362 -0.0263965545371463 0.087247132237779 0.131559624858265 0.17786510657902 0.197423212043305 -0.124489929373427 0.0965962526068591 -0.35512885968603 -0.0945754691834424 -0.0289233228018013 0.0826779307701142 -0.119676825913796 -0.207624773728905 0.235673314419398 -0.102159039633519 -0.0482475727540233 0.195758158013907 -0.130226613485204 -0.0239540432487093 0.0531802268209152 -0.129470751889782 -0.0914180636408493 0.0113186244682472 0.0144259329131713 -0.0392670128120142 0.182695448890654 -0.145711420380535 0.0622568669135855 0.193677517102279 0.0559097103377862 0.159273838494642 0.0943610720234593 0.251615096083198 0.078537401240913 -0.159978425605088 -0.0945831290702291 -0.128594917773636 0.101702008451774 -0.108886222321373 0.103391376014115 -0.0488449644505724 0.00792794828886765 0.0612110052306782 -0.101635493442692 0.0380528089797804 -0.126583685608896 0.0081223563032716 0.0418253863362662 -0.114584462570445 -0.108740738207561 0.00943209343881084 0.0863131052674257 0.00345605853225427 0.0382677292772785 0.0392429190261557 -0.0526468686024087 0.0289114522519849 0.041476133311112 -0.0976957826481836 0.0114692218967429 -0.0741163821504358 0.0504345111689383 -0.00619737407595041 0.136539763756963 0.0341120675513194 0.0186011816358764 -0.0419636036845515 -0.0167338879955335 0.0483026933077868 -0.0550374933805004 0.0097714035173618 0.0171947791303116 0.0500919248082461 0.0610480173406215 0.0290825162832527 0.0736910532595117 0.0557860457836066 -0.00580669548904605 0.0402045398617069 0.0316973651613 -0.03817623072412 -0.0432923805452916 -0.0297940268433633 0.0390982732228783 0.0633424948281773 0.00307826340216035 -0.0294670699496912 0.0245235130518293 -8.49003702630221e-06 -0.0312144785271566 -0.0373266956744972 0.0188429632924025 0.015816883683749 -0.0060838221326335 -0.00763433952429952 0.0190572086664416 -0.091063275728446
DPCh_plate1_A09_S9 -0.107167858123715 -0.0114881775836488 0.119505287548777 0.121168464028136 0.0859392053380055 0.158324539808594 -0.13568474207969 0.0405787450243247 -0.152029376068236 -0.013544031381713 0.235761635717488 0.287961825855299 0.194383191717935 0.192468675551898 -0.128840963235509 0.0128419909792578 0.0236499074052645 0.0173886255823659 -0.0333468785072145 0.0840461384845413 0.0273399047270767 -0.00264799090751837 0.100654686662725 -0.00759909750121934 -0.036973348696803 -0.039023002637376 0.0470394220055579 0.0744669411044928 -0.0218120565138782 0.0702636235424387 -0.00725913580650743 -0.0692215641727758 -0.0555120581153884 -0.0486077958340709 0.041536431578118 0.0179544859834872 -0.000657339012268438 -0.0874149916444231 -0.085987737719567 -0.025045868125226 0.0406768965668682 -0.00230299109172845 0.06806262759316 -0.067943851435551 -0.0501513031077894 -0.0386674879811176 -0.0394705268616314 -0.0465225525310865 -0.0178153823649271 -0.0619027640079548 0.0501118785347899 0.0478503016820068 0.00206838143046094 -0.0173015107932001 0.0264428559266311 -0.031214814835747 0.0921107316318665 0.0779893573482632 0.00444913879513099 -0.0572428299157833 0.0607176692002975 0.00538737964839776 0.00911670658644527 0.0300408191297087 -0.0482309509658772 -4.20612813590579e-05 -0.0834058270687629 -0.00193436393780324 -0.0100920929230459 0.0347641235295672 0.0734575859971387 -0.0204177044967351 0.0321702302301556 0.0556195877739727 -0.0116689490353732 -0.0410018746642061 0.0316896754416218 0.0360416036041574 -0.0792026705393826 0.0469933237729621 -0.0298750724775933 -0.0109267375656779 -0.0197473405648782 -0.0104114232414693 -0.108710364834444 -0.031790016650994 -0.0352775626182616 0.0145848623340315 0.0311603119413365 -0.0526978817215325 -0.0345845683397944 0.0214432466392725 -0.0362355339427953 -0.0391570103406314 -0.0606998215728587 0.0165994790555188 -0.0441275893956421 -0.0800943414038595 -0.0444368681699146 0.0306818693782926 -0.0834668958168057 0.00658541095249633 -0.0481117862837497 -0.0186946605498467 0.311688859480549 -0.0711294861947286 0.0375149454063087 0.0173275664185823 0.00445013419936145 -0.220577829394297 -0.514603997152645 0.16712830930542 -0.0228053395441439 -0.0968541894065319
DPCh_plate1_A10_S10 -0.108880840237892 -0.00724798542992984 0.0823737480954436 0.113623701506913 0.0688640604667476 0.102921565071353 0.0260043020033222 -0.012877580636593 0.0452282324038637 -0.121482296418545 0.0211029816702157 -0.0661645555738762 0.0635003633199274 -0.0101020033074331 -0.0157953448386152 0.0625007190401424 0.000931215029211832 -0.00364076595152507 0.101013470985883 -0.0389254777813832 -0.01753687419432 0.0669060474246457 -0.0532789086376586 -0.00538166339314509 0.025124637425001 0.000250346164071455 -0.0957525271851285 0.056202974410626 -0.045771866881493 -0.135572548880528 0.139139411027229 0.0905746241154983 -0.0672843197540538 -0.147482980864896 0.0505455032703434 -0.00985004331500256 0.0319494684119249 0.0987473284105307 0.0255865052311835 -0.0144870526778581 -0.0317045115960107 -0.0375033269872781 -0.0177704152046514 -0.0632229595794675 0.302319449031429 0.0416174401672451 -0.206654979961856 -0.285561587835825 0.0977582943783051 0.215035523383412 -0.0836974424319456 -0.0113198115138677 0.245243634222048 -0.149526961052424 0.0821633280976288 0.200985910489932 0.0415204249499258 0.039522216492764 -0.244680725901366 -0.140885860712223 0.0543027016067213 -0.061262098998737 0.0507029746993778 0.100032380495063 -0.0474455664913416 0.0281848736211838 0.0240156459332272 -0.298031564589907 0.0225433095214489 0.0157657462822489 -0.0207260342120112 -0.142663503887771 0.0288593280903847 0.0916678874266805 0.0289194057161354 -0.0168958427285991 -0.0198152676605127 -0.0279330595977342 -0.0184474074164285 -0.00908959109507978 -0.00496301872325387 0.024312177749852 0.0449525591397058 -0.00795094640846415 -0.0139601554705447 -0.0737876748507527 0.100686367260198 -0.0878585673351322 0.15410753257432 -0.186161283154497 0.0338310658678949 0.088622081053055 -0.0230164628725936 -0.0148073517152618 0.00219857899751846 -0.0431961078181558 0.119687725087585 0.0899100512956438 0.0748182853022445 0.0590441454470954 0.101006704360391 -0.0070018862679236 0.0238318483130041 -0.020910196324309 -0.0724919989527092 -0.00045540670142705 -0.0145423045245821 -0.0414046637738314 0.0148857216464768 0.0216195026778236 0.00838260184810724 -0.011875379156051 -0.00845390911144777 -0.0965797440901162
DPCh_plate1_A11_S11 -0.105682051994984 -0.0119252588262662 0.103471334324175 -0.0699488797589282 -0.0707686438599464 -0.0755128980632756 0.0222702334789185 -0.0317996116245982 0.0698265222204093 -0.0101781878947108 0.0111251631477123 -0.00587153792311942 0.0209285076692526 0.0861165892314057 0.00446794329160479 0.0127532526112699 -0.00924739782827843 -0.0229606680906862 -0.0629911210373826 -0.0713482201289816 0.061893045008079 -0.0381200905849821 0.0186215620489046 0.0370158329721219 -0.0055536027458709 -0.0496459005964916 0.0903225116055081 0.183240675627823 0.0288584825080656 -0.0591492977362706 0.0302891754892821 0.0161664662535285 0.0769756384094762 -0.0795668381150252 -0.14489462928963 0.0483402085789393 -0.0822745891446624 0.0139918337467534 0.0530479766043106 0.0538740778231636 0.146797444273137 -0.0573429390775793 -0.235255288452055 -0.137937542094256 -0.0712890449698306 -0.0994524618374387 0.0223928142499739 0.0885364121565862 -0.00889457498392515 0.111151999657822 -0.0994664821343792 -0.0665676881884877 0.0575802238210602 0.146984264175935 -0.0310688021928162 0.212234099995317 -0.140725850628607 -0.0111254301700353 0.119780216306687 0.075905377666949 0.0489477769179481 -0.0922272283537883 -0.0601082456769896 -0.253728343030977 0.30036234216859 0.0629368026092802 -0.0546979241846713 0.0616614778840931 0.108495224147011 0.11883461410276 0.181224579391386 0.00351170550609797 -0.07940828293817 0.15543903336177 0.0711218934849867 -0.1035765342598 0.136641770637095 0.0897520949937488 -0.134774674974884 0.121161816998888 0.17290619483922 -0.140253198363131 0.0285210920176883 0.0596153616949909 -0.031297653686407 -0.217136898720929 0.057477516284498 -0.196130467473021 0.123034582047513 0.021858544086527 0.0125684358399909 -0.00539454487118281 0.0664752597947573 -0.0578674700666064 0.0443335077505033 -0.0621114884128765 -0.0660956253187915 -0.0579293046179934 0.0222515477120637 -0.0894288686471729 0.0626944988525521 -0.0561503225093582 0.0933163546282553 0.0198862025381871 -0.0394154200638843 -0.0164689507058883 -0.099104329248079 0.0191808361266099 0.0117549429099964 -0.0267205340265218 -0.0194900630536392 -0.00192891714286285 0.0035361672725979 -0.0971560657128097
DPCh_plate1_A12_S12 -0.108360616474248 -0.00641570113138078 0.0870205363245611 -0.0275905485190741 -0.0808484589350496 -0.188483030889076 -0.0141293045840472 0.0155658154280001 0.0217373956987494 0.0927789349111383 -0.0266387340365106 -0.0711490302773013 -0.0772905246982284 -0.0234748205343856 0.0830352010412413 -0.0186674877858774 0.0858297298239748 -0.0299701291104851 -0.0953814283504328 0.102323056876678 -0.104340249007335 -0.0558989825614535 0.0567697125479576 0.158712720086301 0.0104704525852151 -0.0875889141646877 0.218637995342577 0.121779503461425 0.0890658228761641 -0.0145912916637516 -0.219910664710654 -0.245167135099385 0.139855136455681 -0.0296775277723086 -0.0472052720578912 -0.0535152306659936 0.010759516136151 -0.112101406766237 -0.00387645257814708 -0.0303477537837543 0.0388546560597852 -0.121097277202279 0.0240368481567109 -0.0737915586621381 0.0940267830006078 0.158785636057179 0.0274871950001959 -0.0168726090824466 0.0882754051414267 -0.0329372499807806 0.00639553842029224 0.0859980754239437 0.163264942293903 -0.127016325705609 0.141406961401591 0.0182816708888649 -0.0470725240088466 -0.0023065644671141 -0.0736704264754061 -0.222033521411739 -0.118785214387186 0.281730833883506 -0.177733957596834 -0.174632057024532 0.0298084435441755 0.122146809876372 0.151252066038062 -0.0149497850283139 0.0377852131530051 0.000421371869165604 -0.140497386233929 -0.113571482027137 -0.12202642964574 -0.233670550369694 0.0799310342675616 0.15661411262981 -0.0118592925646334 -0.0597820444827493 -0.0621891747882791 -0.0308968066418453 -0.0245270497720138 0.00710954167351978 -0.0408170342627587 0.00259633102319058 0.00779150167422928 0.0162266286809814 -0.00445262261406332 0.0806605459960768 -0.0165037564931937 0.0721666829212682 -0.00634498177608378 -0.0879984346558629 -0.030824220316292 -0.0172699697027967 -0.0263817827433381 -0.00490013690710538 0.0755473769096994 0.061013736147857 0.0652409944114228 0.00395630826225927 0.118055561269802 -0.00288120069691615 0.0229960104238342 -0.0170785457754649 0.00193832282475896 -0.023910303663494 0.0198617703397783 -0.0282482226350832 -0.00589261364801531 -0.0372027879569457 -0.116655265007916 0.046570493552583 -0.00350005735663071 -0.0964935932054447
